time,open,high,low,close,tick_volume,spread,real_volume
2024-10-25 01:16:00,2734.073,2734.073,2733.303,2733.824,134,159,0
2024-10-25 01:17:00,2733.853,2734.707,2733.486,2734.58,162,160,0
2024-10-25 01:18:00,2734.591,2734.779,2733.923,2734.775,173,160,0
2024-10-25 01:19:00,2734.804,2734.965,2734.204,2734.307,103,160,0
2024-10-25 01:20:00,2734.297,2734.503,2733.8,2733.921,153,160,0
2024-10-25 01:21:00,2733.882,2734.224,2733.666,2733.957,120,160,0
2024-10-25 01:22:00,2733.921,2733.921,2732.835,2733.224,188,160,0
2024-10-25 01:23:00,2733.26,2733.606,2733.078,2733.493,107,160,0
2024-10-25 01:24:00,2733.498,2733.565,2732.883,2733.457,115,160,0
2024-10-25 01:25:00,2733.435,2733.68,2733.228,2733.68,92,160,0
2024-10-25 01:26:00,2733.629,2734.386,2733.571,2734.304,138,160,0
2024-10-25 01:27:00,2734.282,2734.378,2733.739,2734.06,133,160,0
2024-10-25 01:28:00,2734.137,2734.311,2733.775,2734.045,107,160,0
2024-10-25 01:29:00,2734.034,2734.034,2733.566,2733.772,89,160,0
2024-10-25 01:30:00,2733.816,2734.325,2733.18,2733.18,128,160,0
2024-10-25 01:31:00,2733.225,2733.861,2732.798,2733.644,179,160,0
2024-10-25 01:32:00,2733.605,2733.605,2733.029,2733.389,133,160,0
2024-10-25 01:33:00,2733.432,2734.083,2733.397,2733.737,143,160,0
2024-10-25 01:34:00,2733.701,2733.972,2733.526,2733.827,125,160,0
2024-10-25 01:35:00,2733.847,2734.266,2733.637,2733.921,115,160,0
2024-10-25 01:36:00,2733.961,2734.574,2733.961,2734.167,144,160,0
2024-10-25 01:37:00,2734.254,2734.37,2733.347,2733.541,151,160,0
2024-10-25 01:38:00,2733.551,2733.604,2733.155,2733.476,131,160,0
2024-10-25 01:39:00,2733.467,2733.467,2733.072,2733.1,140,160,0
2024-10-25 01:40:00,2733.069,2733.71,2733.017,2733.493,133,159,0
2024-10-25 01:41:00,2733.518,2734.578,2733.443,2734.367,127,160,0
2024-10-25 01:42:00,2734.348,2734.727,2733.997,2734.366,126,160,0
2024-10-25 01:43:00,2734.33,2734.33,2733.034,2733.221,153,160,0
2024-10-25 01:44:00,2733.265,2733.644,2732.841,2733.153,111,160,0
2024-10-25 01:45:00,2733.116,2733.116,2731.919,2732.003,164,160,0
2024-10-25 01:46:00,2731.972,2732.538,2731.592,2731.592,131,160,0
2024-10-25 01:47:00,2731.53,2732.127,2731.196,2731.393,147,160,0
2024-10-25 01:48:00,2731.407,2731.407,2730.56,2731.135,158,160,0
2024-10-25 01:49:00,2731.157,2731.157,2730.656,2730.711,118,160,0
2024-10-25 01:50:00,2730.752,2731.109,2730.527,2730.533,138,160,0
2024-10-25 01:51:00,2730.578,2731.143,2730.195,2730.84,144,160,0
2024-10-25 01:52:00,2730.881,2731.115,2730.246,2730.311,147,160,0
2024-10-25 01:53:00,2730.353,2730.698,2730.104,2730.348,134,160,0
2024-10-25 01:54:00,2730.348,2730.414,2730.106,2730.226,103,160,0
2024-10-25 01:55:00,2730.185,2730.473,2730.043,2730.25,128,160,0
2024-10-25 01:56:00,2730.206,2730.74,2729.788,2729.858,165,160,0
2024-10-25 01:57:00,2729.915,2730.462,2729.915,2730.263,137,160,0
2024-10-25 01:58:00,2730.255,2730.512,2729.941,2729.975,117,160,0
2024-10-25 01:59:00,2729.967,2730.32,2729.886,2730.022,130,160,0
2024-10-25 02:00:00,2729.979,2729.979,2728.994,2729.327,194,160,0
2024-10-25 02:01:00,2729.369,2729.411,2728.532,2728.809,162,159,0
2024-10-25 02:02:00,2728.797,2728.876,2728.204,2728.802,169,160,0
2024-10-25 02:03:00,2728.759,2729.151,2728.251,2728.867,172,160,0
2024-10-25 02:04:00,2728.878,2729.437,2728.855,2729.128,160,160,0
2024-10-25 02:05:00,2729.16,2729.356,2728.671,2728.898,150,159,0
2024-10-25 02:06:00,2728.92,2728.975,2728.112,2728.198,129,160,0
2024-10-25 02:07:00,2728.186,2728.186,2727.535,2727.618,96,160,0
2024-10-25 02:08:00,2727.63,2728.295,2727.63,2727.882,102,160,0
2024-10-25 02:09:00,2727.891,2728.0,2727.593,2727.826,86,160,0
2024-10-25 02:10:00,2727.869,2728.004,2727.432,2727.845,121,160,0
2024-10-25 02:11:00,2727.887,2728.686,2727.822,2728.571,119,160,0
2024-10-25 02:12:00,2728.64,2729.102,2728.361,2728.957,136,160,0
2024-10-25 02:13:00,2728.99,2729.478,2728.685,2728.748,127,160,0
2024-10-25 02:14:00,2728.75,2729.177,2728.595,2729.139,120,160,0
2024-10-25 02:15:00,2729.192,2730.156,2729.112,2729.985,133,160,0
2024-10-25 02:16:00,2729.971,2730.137,2729.665,2729.895,105,160,0
2024-10-25 02:17:00,2729.95,2730.021,2729.734,2729.889,84,160,0
2024-10-25 02:18:00,2729.931,2729.97,2729.493,2729.612,65,160,0
2024-10-25 02:19:00,2729.581,2729.648,2729.287,2729.428,72,160,0
2024-10-25 02:20:00,2729.441,2729.612,2728.754,2728.911,81,160,0
2024-10-25 02:21:00,2728.908,2729.032,2728.347,2728.897,108,159,0
2024-10-25 02:22:00,2728.859,2729.24,2728.582,2729.24,84,160,0
2024-10-25 02:23:00,2729.214,2729.343,2728.779,2729.058,80,160,0
2024-10-25 02:24:00,2729.06,2729.336,2729.06,2729.213,64,160,0
2024-10-25 02:25:00,2729.174,2729.261,2728.721,2728.759,78,160,0
2024-10-25 02:26:00,2728.726,2729.182,2728.676,2729.041,96,160,0
2024-10-25 02:27:00,2729.042,2729.326,2728.871,2729.326,73,160,0
2024-10-25 02:28:00,2729.332,2729.392,2728.887,2729.096,72,160,0
2024-10-25 02:29:00,2729.095,2729.136,2728.82,2728.832,88,160,0
2024-10-25 02:30:00,2728.857,2728.969,2727.798,2727.99,144,160,0
2024-10-25 02:31:00,2727.969,2728.269,2727.627,2727.929,130,159,0
2024-10-25 02:32:00,2727.911,2728.228,2727.767,2727.957,97,160,0
2024-10-25 02:33:00,2727.952,2728.046,2727.72,2727.796,81,160,0
2024-10-25 02:34:00,2727.827,2728.044,2727.595,2728.007,108,160,0
2024-10-25 02:35:00,2727.982,2728.109,2727.772,2728.007,93,160,0
2024-10-25 02:36:00,2727.998,2728.331,2727.856,2728.099,105,160,0
2024-10-25 02:37:00,2728.14,2728.14,2727.391,2727.406,108,160,0
2024-10-25 02:38:00,2727.36,2727.467,2726.354,2726.434,106,160,0
2024-10-25 02:39:00,2726.428,2726.81,2726.136,2726.703,110,160,0
2024-10-25 02:40:00,2726.742,2727.167,2726.647,2726.958,105,160,0
2024-10-25 02:41:00,2726.961,2727.085,2726.408,2726.675,87,160,0
2024-10-25 02:42:00,2726.696,2727.095,2726.4,2727.015,101,160,0
2024-10-25 02:43:00,2727.07,2727.462,2726.746,2727.248,129,160,0
2024-10-25 02:44:00,2727.234,2728.126,2727.231,2727.902,122,160,0
2024-10-25 02:45:00,2727.959,2728.13,2727.172,2727.448,134,159,0
2024-10-25 02:46:00,2727.48,2727.717,2727.393,2727.589,94,160,0
2024-10-25 02:47:00,2727.547,2727.625,2727.271,2727.276,91,160,0
2024-10-25 02:48:00,2727.322,2727.603,2726.984,2727.518,124,160,0
2024-10-25 02:49:00,2727.56,2727.915,2727.483,2727.594,107,160,0
2024-10-25 02:50:00,2727.574,2727.871,2727.407,2727.715,90,160,0
2024-10-25 02:51:00,2727.717,2727.817,2727.386,2727.735,100,160,0
2024-10-25 02:52:00,2727.731,2728.53,2727.731,2728.204,108,160,0
2024-10-25 02:53:00,2728.147,2728.2,2727.709,2727.884,103,160,0
2024-10-25 02:54:00,2727.882,2727.882,2727.241,2727.414,101,160,0
2024-10-25 02:55:00,2727.438,2727.495,2726.768,2727.495,110,160,0
