,realtime_start,realtime_end,date,value
97,2024-11-08,2024-11-08,2008-12-01,-96.22642
98,2024-11-08,2024-11-08,2009-01-01,-96.19289
99,2024-11-08,2024-11-08,2009-02-01,-92.61745
100,2024-11-08,2024-11-08,2009-03-01,-93.10345
101,2024-11-08,2024-11-08,2009-04-01,-93.42105
102,2024-11-08,2024-11-08,2009-05-01,-90.90909
103,2024-11-08,2024-11-08,2009-06-01,-89.5
104,2024-11-08,2024-11-08,2009-07-01,-92.0398
105,2024-11-08,2024-11-08,2009-08-01,-92.0
106,2024-11-08,2024-11-08,2009-09-01,-91.71271
107,2024-11-08,2024-11-08,2009-10-01,-87.62887
108,2024-11-08,2024-11-08,2009-11-01,-69.23077
109,2024-11-08,2024-11-08,2009-12-01,-25.0
110,2024-11-08,2024-11-08,2010-01-01,-26.66667
111,2024-11-08,2024-11-08,2010-02-01,-40.90909
112,2024-11-08,2024-11-08,2010-03-01,-11.11111
113,2024-11-08,2024-11-08,2010-04-01,33.33333
114,2024-11-08,2024-11-08,2010-05-01,11.11111
115,2024-11-08,2024-11-08,2010-06-01,-14.28571
116,2024-11-08,2024-11-08,2010-07-01,12.5
117,2024-11-08,2024-11-08,2010-08-01,18.75
118,2024-11-08,2024-11-08,2010-09-01,26.66667
119,2024-11-08,2024-11-08,2010-10-01,58.33333
120,2024-11-08,2024-11-08,2010-11-01,58.33333
121,2024-11-08,2024-11-08,2010-12-01,50.0
122,2024-11-08,2024-11-08,2011-01-01,54.54545
123,2024-11-08,2024-11-08,2011-02-01,23.07692
124,2024-11-08,2024-11-08,2011-03-01,-12.5
125,2024-11-08,2024-11-08,2011-04-01,-50.0
126,2024-11-08,2024-11-08,2011-05-01,-55.0
127,2024-11-08,2024-11-08,2011-06-01,-50.0
128,2024-11-08,2024-11-08,2011-07-01,-61.11111
129,2024-11-08,2024-11-08,2011-08-01,-47.36842
130,2024-11-08,2024-11-08,2011-09-01,-57.89474
131,2024-11-08,2024-11-08,2011-10-01,-63.15789
132,2024-11-08,2024-11-08,2011-11-01,-57.89474
133,2024-11-08,2024-11-08,2011-12-01,-61.11111
134,2024-11-08,2024-11-08,2012-01-01,-52.94118
135,2024-11-08,2024-11-08,2012-02-01,-37.5
136,2024-11-08,2024-11-08,2012-03-01,-7.14286
137,2024-11-08,2024-11-08,2012-04-01,40.0
138,2024-11-08,2024-11-08,2012-05-01,77.77778
139,2024-11-08,2024-11-08,2012-06-01,77.77778
140,2024-11-08,2024-11-08,2012-07-01,128.57143
141,2024-11-08,2024-11-08,2012-08-01,30.0
