date,realtime_start,realtime_end,value
2010-12-01,2024-11-05,2024-11-05,-6.06061
2011-01-01,2024-11-05,2024-11-05,-7.14286
2011-02-01,2024-11-05,2024-11-05,-8.16327
2011-03-01,2024-11-05,2024-11-05,-9.09091
2011-04-01,2024-11-05,2024-11-05,-8.08081
2011-05-01,2024-11-05,2024-11-05,-6.25
2011-06-01,2024-11-05,2024-11-05,-3.19149
2011-07-01,2024-11-05,2024-11-05,-4.25532
2011-08-01,2024-11-05,2024-11-05,-5.26316
2011-09-01,2024-11-05,2024-11-05,-5.26316
2011-10-01,2024-11-05,2024-11-05,-6.38298
2011-11-01,2024-11-05,2024-11-05,-12.2449
2011-12-01,2024-11-05,2024-11-05,-8.60215
2012-01-01,2024-11-05,2024-11-05,-8.79121
2012-02-01,2024-11-05,2024-11-05,-7.77778
2012-03-01,2024-11-05,2024-11-05,-8.88889
2012-04-01,2024-11-05,2024-11-05,-9.89011
2012-05-01,2024-11-05,2024-11-05,-8.88889
2012-06-01,2024-11-05,2024-11-05,-9.89011
2012-07-01,2024-11-05,2024-11-05,-8.88889
2012-08-01,2024-11-05,2024-11-05,-10.0
2012-09-01,2024-11-05,2024-11-05,-13.33333
2012-10-01,2024-11-05,2024-11-05,-11.36364
2012-11-01,2024-11-05,2024-11-05,-10.46512
2012-12-01,2024-11-05,2024-11-05,-7.05882
2013-01-01,2024-11-05,2024-11-05,-3.61446
2013-02-01,2024-11-05,2024-11-05,-7.22892
2013-03-01,2024-11-05,2024-11-05,-8.53659
2013-04-01,2024-11-05,2024-11-05,-7.31707
2013-05-01,2024-11-05,2024-11-05,-8.53659
2013-06-01,2024-11-05,2024-11-05,-8.53659
2013-07-01,2024-11-05,2024-11-05,-10.97561
2013-08-01,2024-11-05,2024-11-05,-11.11111
2013-09-01,2024-11-05,2024-11-05,-7.69231
2013-10-01,2024-11-05,2024-11-05,-7.69231
2013-11-01,2024-11-05,2024-11-05,-10.38961
2013-12-01,2024-11-05,2024-11-05,-15.18987
2014-01-01,2024-11-05,2024-11-05,-17.5
2014-02-01,2024-11-05,2024-11-05,-12.98701
2014-03-01,2024-11-05,2024-11-05,-10.66667
2014-04-01,2024-11-05,2024-11-05,-18.42105
2014-05-01,2024-11-05,2024-11-05,-16.0
2014-06-01,2024-11-05,2024-11-05,-18.66667
2014-07-01,2024-11-05,2024-11-05,-15.06849
2014-08-01,2024-11-05,2024-11-05,-15.27778
2014-09-01,2024-11-05,2024-11-05,-18.05556
2014-10-01,2024-11-05,2024-11-05,-20.83333
2014-11-01,2024-11-05,2024-11-05,-15.94203
