date,realtime_start,realtime_end,value
2005-01-01,2024-11-05,2024-11-05,2.84487
2005-02-01,2024-11-05,2024-11-05,3.05303
2005-03-01,2024-11-05,2024-11-05,3.20684
2005-04-01,2024-11-05,2024-11-05,3.36179
2005-05-01,2024-11-05,2024-11-05,2.86929
2005-06-01,2024-11-05,2024-11-05,2.54103
2005-07-01,2024-11-05,2024-11-05,3.06716
2005-08-01,2024-11-05,2024-11-05,3.64693
2005-09-01,2024-11-05,2024-11-05,4.74183
2005-10-01,2024-11-05,2024-11-05,4.3501
2005-11-01,2024-11-05,2024-11-05,3.33855
2005-12-01,2024-11-05,2024-11-05,3.33855
2006-01-01,2024-11-05,2024-11-05,4.01879
2006-02-01,2024-11-05,2024-11-05,3.63825
2006-03-01,2024-11-05,2024-11-05,3.41792
2006-04-01,2024-11-05,2024-11-05,3.61384
2006-05-01,2024-11-05,2024-11-05,3.97727
2006-06-01,2024-11-05,2024-11-05,4.18172
2006-07-01,2024-11-05,2024-11-05,4.10467
2006-08-01,2024-11-05,2024-11-05,3.92657
2006-09-01,2024-11-05,2024-11-05,2.01207
2006-10-01,2024-11-05,2024-11-05,1.40633
2006-11-01,2024-11-05,2024-11-05,1.9687
2006-12-01,2024-11-05,2024-11-05,2.52398
2007-01-01,2024-11-05,2024-11-05,2.07577
2007-02-01,2024-11-05,2024-11-05,2.42026
2007-03-01,2024-11-05,2024-11-05,2.7982
2007-04-01,2024-11-05,2024-11-05,2.59292
2007-05-01,2024-11-05,2024-11-05,2.70989
2007-06-01,2024-11-05,2024-11-05,2.69277
2007-07-01,2024-11-05,2024-11-05,2.31789
2007-08-01,2024-11-05,2024-11-05,1.89745
2007-09-01,2024-11-05,2024-11-05,2.83383
2007-10-01,2024-11-05,2024-11-05,3.6107
2007-11-01,2024-11-05,2024-11-05,4.37327
2007-12-01,2024-11-05,2024-11-05,4.10881
2008-01-01,2024-11-05,2024-11-05,4.2947
2008-02-01,2024-11-05,2024-11-05,4.14296
2008-03-01,2024-11-05,2024-11-05,3.9749
2008-04-01,2024-11-05,2024-11-05,3.90376
2008-05-01,2024-11-05,2024-11-05,4.08841
2008-06-01,2024-11-05,2024-11-05,4.93597
2008-07-01,2024-11-05,2024-11-05,5.49751
2008-08-01,2024-11-05,2024-11-05,5.30802
2008-09-01,2024-11-05,2024-11-05,4.95332
2008-10-01,2024-11-05,2024-11-05,3.73106
2008-11-01,2024-11-05,2024-11-05,1.09992
2008-12-01,2024-11-05,2024-11-05,-0.02223
2009-01-01,2024-11-05,2024-11-05,-0.11359
2009-02-01,2024-11-05,2024-11-05,0.00846
2009-03-01,2024-11-05,2024-11-05,-0.44648
2009-04-01,2024-11-05,2024-11-05,-0.57632
2009-05-01,2024-11-05,2024-11-05,-1.01576
2009-06-01,2024-11-05,2024-11-05,-1.22917
2009-07-01,2024-11-05,2024-11-05,-1.95876
2009-08-01,2024-11-05,2024-11-05,-1.48384
2009-09-01,2024-11-05,2024-11-05,-1.37794
2009-10-01,2024-11-05,2024-11-05,-0.22397
2009-11-01,2024-11-05,2024-11-05,1.91459
2009-12-01,2024-11-05,2024-11-05,2.81412
2010-01-01,2024-11-05,2024-11-05,2.62111
