date,realtime_start,realtime_end,value
2010-11-01,2024-11-05,2024-11-05,58.33333
2010-12-01,2024-11-05,2024-11-05,50.0
2011-01-01,2024-11-05,2024-11-05,54.54545
2011-02-01,2024-11-05,2024-11-05,23.07692
2011-03-01,2024-11-05,2024-11-05,-12.5
2011-04-01,2024-11-05,2024-11-05,-50.0
2011-05-01,2024-11-05,2024-11-05,-55.0
2011-06-01,2024-11-05,2024-11-05,-50.0
2011-07-01,2024-11-05,2024-11-05,-61.11111
2011-08-01,2024-11-05,2024-11-05,-47.36842
2011-09-01,2024-11-05,2024-11-05,-57.89474
2011-10-01,2024-11-05,2024-11-05,-63.15789
2011-11-01,2024-11-05,2024-11-05,-57.89474
2011-12-01,2024-11-05,2024-11-05,-61.11111
2012-01-01,2024-11-05,2024-11-05,-52.94118
2012-02-01,2024-11-05,2024-11-05,-37.5
2012-03-01,2024-11-05,2024-11-05,-7.14286
2012-04-01,2024-11-05,2024-11-05,40.0
2012-05-01,2024-11-05,2024-11-05,77.77778
2012-06-01,2024-11-05,2024-11-05,77.77778
2012-07-01,2024-11-05,2024-11-05,128.57143
2012-08-01,2024-11-05,2024-11-05,30.0
2012-09-01,2024-11-05,2024-11-05,75.0
2012-10-01,2024-11-05,2024-11-05,128.57143
2012-11-01,2024-11-05,2024-11-05,100.0
2012-12-01,2024-11-05,2024-11-05,128.57143
2013-01-01,2024-11-05,2024-11-05,75.0
2013-02-01,2024-11-05,2024-11-05,50.0
2013-03-01,2024-11-05,2024-11-05,7.69231
2013-04-01,2024-11-05,2024-11-05,7.14286
2013-05-01,2024-11-05,2024-11-05,-31.25
2013-06-01,2024-11-05,2024-11-05,-43.75
2013-07-01,2024-11-05,2024-11-05,-43.75
2013-08-01,2024-11-05,2024-11-05,-38.46154
2013-09-01,2024-11-05,2024-11-05,-42.85714
2013-10-01,2024-11-05,2024-11-05,-43.75
2013-11-01,2024-11-05,2024-11-05,-50.0
2013-12-01,2024-11-05,2024-11-05,-43.75
2014-01-01,2024-11-05,2024-11-05,-50.0
2014-02-01,2024-11-05,2024-11-05,-53.33333
2014-03-01,2024-11-05,2024-11-05,-42.85714
2014-04-01,2024-11-05,2024-11-05,-40.0
2014-05-01,2024-11-05,2024-11-05,-18.18182
2014-06-01,2024-11-05,2024-11-05,11.11111
2014-07-01,2024-11-05,2024-11-05,0.0
2014-08-01,2024-11-05,2024-11-05,12.5
2014-09-01,2024-11-05,2024-11-05,12.5
2014-10-01,2024-11-05,2024-11-05,0.0
2014-11-01,2024-11-05,2024-11-05,12.5
2014-12-01,2024-11-05,2024-11-05,33.33333
2015-01-01,2024-11-05,2024-11-05,57.14286
2015-02-01,2024-11-05,2024-11-05,57.14286
2015-03-01,2024-11-05,2024-11-05,37.5
2015-04-01,2024-11-05,2024-11-05,33.33333
2015-05-01,2024-11-05,2024-11-05,33.33333
2015-06-01,2024-11-05,2024-11-05,30.0
2015-07-01,2024-11-05,2024-11-05,44.44444
2015-08-01,2024-11-05,2024-11-05,55.55556
2015-09-01,2024-11-05,2024-11-05,55.55556
2015-10-01,2024-11-05,2024-11-05,33.33333
2015-11-01,2024-11-05,2024-11-05,33.33333
2015-12-01,2024-11-05,2024-11-05,100.0
2016-01-01,2024-11-05,2024-11-05,209.09091
2016-02-01,2024-11-05,2024-11-05,245.45455
2016-03-01,2024-11-05,2024-11-05,227.27273
2016-04-01,2024-11-05,2024-11-05,208.33333
2016-05-01,2024-11-05,2024-11-05,208.33333
2016-06-01,2024-11-05,2024-11-05,192.30769
2016-07-01,2024-11-05,2024-11-05,200.0
2016-08-01,2024-11-05,2024-11-05,185.71429
2016-09-01,2024-11-05,2024-11-05,185.71429
2016-10-01,2024-11-05,2024-11-05,233.33333
2016-11-01,2024-11-05,2024-11-05,241.66667
2016-12-01,2024-11-05,2024-11-05,125.0
2017-01-01,2024-11-05,2024-11-05,91.17647
2017-02-01,2024-11-05,2024-11-05,73.68421
2017-03-01,2024-11-05,2024-11-05,119.44444
2017-04-01,2024-11-05,2024-11-05,143.24324
2017-05-01,2024-11-05,2024-11-05,145.94595
2017-06-01,2024-11-05,2024-11-05,173.68421
2017-07-01,2024-11-05,2024-11-05,194.87179
2017-08-01,2024-11-05,2024-11-05,190.0
2017-09-01,2024-11-05,2024-11-05,187.5
2017-10-01,2024-11-05,2024-11-05,187.5
2017-11-01,2024-11-05,2024-11-05,182.92683
2017-12-01,2024-11-05,2024-11-05,140.74074
2018-01-01,2024-11-05,2024-11-05,116.92308
2018-02-01,2024-11-05,2024-11-05,115.15152
2018-03-01,2024-11-05,2024-11-05,91.13924
2018-04-01,2024-11-05,2024-11-05,87.77778
2018-05-01,2024-11-05,2024-11-05,86.81319
2018-06-01,2024-11-05,2024-11-05,75.0
2018-07-01,2024-11-05,2024-11-05,66.08696
2018-08-01,2024-11-05,2024-11-05,64.65517
2018-09-01,2024-11-05,2024-11-05,69.56522
2018-10-01,2024-11-05,2024-11-05,90.43478
2018-11-01,2024-11-05,2024-11-05,89.65517
2018-12-01,2024-11-05,2024-11-05,74.61538
2019-01-01,2024-11-05,2024-11-05,70.21277
2019-02-01,2024-11-05,2024-11-05,69.01408
2019-03-01,2024-11-05,2024-11-05,59.60265
2019-04-01,2024-11-05,2024-11-05,43.19527
2019-05-01,2024-11-05,2024-11-05,40.58824
2019-06-01,2024-11-05,2024-11-05,30.76923
2019-07-01,2024-11-05,2024-11-05,25.65445
2019-08-01,2024-11-05,2024-11-05,11.51832
2019-09-01,2024-11-05,2024-11-05,4.61538
2019-10-01,2024-11-05,2024-11-05,-16.43836
2019-11-01,2024-11-05,2024-11-05,-29.54545
2019-12-01,2024-11-05,2024-11-05,-31.71806
2020-01-01,2024-11-05,2024-11-05,-35.41667
2020-02-01,2024-11-05,2024-11-05,-34.16667
2020-03-01,2024-11-05,2024-11-05,-73.02905
2020-04-01,2024-11-05,2024-11-05,-97.93388
2020-05-01,2024-11-05,2024-11-05,-97.90795
2020-06-01,2024-11-05,2024-11-05,-96.63866
2020-07-01,2024-11-05,2024-11-05,-96.25
2020-08-01,2024-11-05,2024-11-05,-95.30516
2020-09-01,2024-11-05,2024-11-05,-95.58824
2020-10-01,2024-11-05,2024-11-05,-95.08197
2020-11-01,2024-11-05,2024-11-05,-94.19355
2020-12-01,2024-11-05,2024-11-05,-94.19355
2021-01-01,2024-11-05,2024-11-05,-94.19355
2021-02-01,2024-11-05,2024-11-05,-94.93671
2021-03-01,2024-11-05,2024-11-05,-89.23077
2021-04-01,2024-11-05,2024-11-05,40.0
2021-05-01,2024-11-05,2024-11-05,20.0
2021-06-01,2024-11-05,2024-11-05,0.0
2021-07-01,2024-11-05,2024-11-05,11.11111
2021-08-01,2024-11-05,2024-11-05,-10.0
2021-09-01,2024-11-05,2024-11-05,-11.11111
2021-10-01,2024-11-05,2024-11-05,-11.11111
2021-11-01,2024-11-05,2024-11-05,-11.11111
2021-12-01,2024-11-05,2024-11-05,-11.11111
